Country,Year,Month,Imports,Exports,Trade Volume
Malaysia,2023,4,5274.4,4650.5,9924.9
China,2020,5,4843.7,5080.4,9924.099999999999
Malaysia,2008,9,4980.0,4934.9,9914.9
China,2019,2,4037.0,5869.6,9906.6
Malaysia,2012,2,4327.0,5577.1,9904.1
Malaysia,2023,1,4920.1,4980.1,9900.2
China,2015,8,4829.8,5070.3,9900.1
Malaysia,2006,8,4377.7,5503.3,9881.0
Malaysia,2021,7,5830.8,4044.9,9875.7
United States,2021,12,5184.1,4684.9,9869.0
China,2014,7,4358.3,5506.7,9865.0
Malaysia,2020,1,4979.3,4882.4,9861.7
United States,2020,4,4408.7,5439.1,9847.8
Malaysia,2013,11,4268.2,5566.3,9834.5
China,2016,9,4592.2,5222.4,9814.599999999999
Malaysia,2014,6,3892.9,5920.1,9813.0
Malaysia,2013,8,4397.6,5415.3,9812.900000000001
Malaysia,2010,8,4095.8,5706.1,9801.900000000001
United States,2020,3,5001.6,4782.3,9783.900000000001
China,2013,4,4674.1,5103.2,9777.3
Malaysia,2012,5,4159.9,5613.5,9773.4
Malaysia,2007,8,4641.5,5129.7,9771.2
China,2016,1,4706.9,5063.2,9770.099999999999
Malaysia,2023,7,4835.2,4922.5,9757.7
Malaysia,2007,10,4665.1,5091.0,9756.1
United States,2020,7,3815.6,5935.2,9750.8
Malaysia,2023,5,5027.5,4718.8,9746.3
Malaysia,2018,4,4823.9,4914.0,9737.9
Malaysia,2011,11,4121.6,5592.2,9713.8
Malaysia,2007,9,4792.0,4916.4,9708.4
Malaysia,2018,9,4591.9,5096.3,9688.2
China,2012,11,4461.6,5219.7,9681.3
Malaysia,2017,12,4559.3,5121.6,9680.900000000001
Malaysia,2012,7,4516.0,5157.4,9673.4
Malaysia,2011,7,4235.9,5436.7,9672.599999999999
Malaysia,2012,10,4333.6,5326.7,9660.3
China,2014,8,4140.2,5519.8,9660.0
Malaysia,2013,4,4183.3,5469.0,9652.3
Malaysia,2008,5,4482.7,5169.1,9651.8
Malaysia,2007,11,4477.7,5168.8,9646.5
Malaysia,2017,8,4795.2,4851.0,9646.2
Malaysia,2010,7,4351.9,5290.7,9642.599999999999
China,2016,7,4482.8,5140.2,9623.0
Malaysia,2007,7,4395.7,5213.5,9609.2
Malaysia,2007,12,4438.0,5166.9,9604.9
China,2016,8,4415.7,5177.4,9593.099999999999
United States,2024,2,4958.7,4630.3,9589.0
Malaysia,2019,4,4770.8,4817.3,9588.1
Malaysia,2012,9,4189.6,5394.9,9584.5
United States,2022,1,4451.7,5127.1,9578.8
Malaysia,2011,10,4297.6,5278.6,9576.2
China,2016,4,4430.9,5119.5,9550.4
Malaysia,2013,1,4316.6,5231.6,9548.2
United States,2021,11,4928.8,4604.7,9533.5
Malaysia,2019,7,4899.0,4632.3,9531.3
Malaysia,2018,12,4874.2,4634.9,9509.099999999999
China,2013,5,4512.7,4994.5,9507.2
China,2017,2,3868.5,5627.9,9496.4
Malaysia,2018,1,4645.8,4834.7,9480.5
Malaysia,2018,3,4710.6,4767.3,9477.900000000001
Malaysia,2013,9,4058.0,5404.0,9462.0
United States,2023,1,5207.3,4251.5,9458.8
Malaysia,2011,9,3921.7,5531.2,9452.9
Malaysia,2014,8,4165.1,5282.8,9447.900000000001
Malaysia,2006,9,4337.4,5099.9,9437.3
Malaysia,2012,8,4179.0,5250.6,9429.6
United States,2023,5,5086.4,4336.1,9422.5
China,2016,5,4605.8,4814.2,9420.0
Malaysia,2017,5,4789.0,4630.6,9419.6
Malaysia,2011,4,4311.7,5107.1,9418.8
United States,2023,2,4894.4,4523.0,9417.4
China,2016,6,4539.3,4865.0,9404.3
Malaysia,2019,1,4608.9,4794.6,9403.5
Malaysia,2013,6,4072.3,5321.5,9393.8
China,2018,2,4746.6,4646.3,9392.900000000001
Malaysia,2013,5,4040.4,5348.7,9389.1
Malaysia,2018,6,4611.3,4761.2,9372.5
Malaysia,2014,1,4373.4,4994.4,9367.8
Malaysia,2023,12,4955.1,4396.7,9351.8
China,2016,3,4702.2,4649.1,9351.3
United States,2019,11,5428.5,3919.5,9348.0
Malaysia,2021,6,5526.7,3811.0,9337.7
Malaysia,2008,8,4310.9,5026.5,9337.4
United States,2021,4,5036.0,4298.0,9334.0
United States,2018,10,5659.7,3667.0,9326.7
Malaysia,2020,12,5226.1,4098.7,9324.8
Malaysia,2010,4,4238.5,5084.1,9322.6
China,2012,12,4420.2,4892.2,9312.4
Malaysia,2014,9,4268.4,5043.5,9311.9
Malaysia,2017,3,4639.7,4668.4,9308.099999999999
Malaysia,2021,2,5402.5,3904.9,9307.4
United States,2021,10,4870.7,4434.0,9304.7
United States,2019,5,4969.2,4329.1,9298.3
China,2014,2,3884.6,5413.1,9297.7
Malaysia,2014,10,4121.1,5176.5,9297.6
Malaysia,2007,6,4281.4,5011.7,9293.099999999999
Malaysia,2019,3,4774.1,4510.5,9284.6
China,2012,10,4022.8,5248.3,9271.1
Malaysia,2019,9,4714.7,4542.6,9257.3
Malaysia,2006,6,4268.5,4951.6,9220.1
China,2013,1,4665.0,4548.1,9213.1
Malaysia,2008,3,4729.4,4476.7,9206.099999999999
Malaysia,2006,7,4132.4,5049.8,9182.2
Malaysia,2020,7,5094.9,4080.2,9175.099999999999
Malaysia,2012,11,4042.7,5128.2,9170.9
Malaysia,2014,3,4098.5,5065.7,9164.2
Malaysia,2013,3,4165.3,4994.7,9160.0
Malaysia,2007,3,4410.3,4743.4,9153.7
Malaysia,2020,9,5093.0,4057.1,9150.1
Malaysia,2010,9,4136.5,5008.0,9144.5
United States,2019,3,4925.9,4208.0,9133.9
Malaysia,2006,3,4525.9,4592.3,9118.2
Malaysia,2006,5,4269.1,4849.0,9118.1
China,2011,12,4223.9,4876.3,9100.2
China,2011,3,4598.7,4490.9,9089.599999999999
Malaysia,2005,10,4209.9,4878.9,9088.8
Malaysia,2010,6,4068.6,5018.2,9086.8
Malaysia,2011,5,3789.6,5281.1,9070.7
Malaysia,2020,2,4985.9,4084.1,9070.0
United States,2019,7,5126.3,3941.3,9067.6
United States,2021,8,4826.4,4240.8,9067.2
Malaysia,2019,8,4647.1,4416.4,9063.5
Malaysia,2020,10,5249.3,3810.3,9059.6
United States,2019,4,5275.0,3749.6,9024.6
Malaysia,2014,2,4043.3,4979.9,9023.2
Malaysia,2010,3,4247.3,4763.9,9011.2
United States,2021,3,4466.4,4526.5,8992.9
China,2011,11,4217.3,4759.3,8976.6
China,2012,5,4152.7,4814.6,8967.3
China,2012,3,4559.6,4396.6,8956.2
United States,2021,9,4593.6,4361.4,8955.0
China,2013,6,4398.0,4537.7,8935.7
Malaysia,2015,3,4028.2,4903.6,8931.8
Malaysia,2007,5,4051.3,4878.8,8930.1
China,2012,6,4320.2,4604.9,8925.099999999999
Malaysia,2020,6,5247.9,3672.7,8920.599999999999
Malaysia,2010,10,3946.6,4939.0,8885.6
Malaysia,2015,7,3968.0,4911.5,8879.5
Malaysia,2005,12,4269.2,4588.9,8858.099999999999
United States,2006,12,5710.5,3144.7,8855.2
Malaysia,2020,8,5070.0,3783.0,8853.0
Malaysia,2020,11,4918.8,3920.5,8839.3
Malaysia,2011,1,3860.6,4975.5,8836.1
China,2015,2,4084.1,4743.6,8827.7
China,2008,7,4457.5,4363.4,8820.9
Malaysia,2007,1,4018.9,4795.4,8814.3
Malaysia,2010,11,4426.9,4376.7,8803.599999999999
United States,2019,6,5125.4,3675.3,8800.7
Malaysia,2006,11,3998.1,4800.3,8798.4
China,2012,7,4177.0,4612.3,8789.3
United States,2019,8,5362.1,3421.7,8783.8
Malaysia,2008,10,4086.4,4693.6,8780.0
China,2011,1,4040.4,4734.8,8775.2
Malaysia,2016,12,4113.6,4643.1,8756.7
Malaysia,2017,9,4180.7,4574.7,8755.4
China,2008,9,4714.0,4036.3,8750.3
China,2011,8,4035.1,4708.7,8743.8
Malaysia,2005,9,4144.5,4575.3,8719.8
Malaysia,2007,4,4184.8,4532.3,8717.1
Malaysia,2009,12,4079.1,4632.1,8711.2
United States,2021,5,4182.6,4520.7,8703.3
China,2010,12,3895.5,4794.5,8690.0
United States,2018,8,5016.8,3669.6,8686.4
Malaysia,2015,6,4180.5,4495.4,8675.9
Malaysia,2012,12,3876.6,4788.8,8665.4
Malaysia,2010,12,4143.3,4520.9,8664.2
United States,2020,2,4398.3,4258.8,8657.1
Malaysia,2010,1,4285.1,4361.3,8646.400000000001
United States,2018,5,5017.2,3623.9,8641.1
Malaysia,2015,8,4008.9,4628.9,8637.8
Malaysia,2006,10,3845.8,4786.3,8632.1
United States,2021,6,4418.9,4191.5,8610.4
United States,2007,3,4767.9,3836.4,8604.3
China,2013,3,4300.1,4297.2,8597.3
China,2006,12,4664.1,3931.5,8595.6
United States,2018,6,5173.0,3390.3,8563.3
China,2011,6,4024.5,4521.4,8545.9
Malaysia,2013,2,4001.3,4540.9,8542.2
United States,2019,10,4850.1,3691.1,8541.2
Malaysia,2006,4,4007.1,4534.1,8541.2
United States,2018,11,5055.0,3478.2,8533.2
Malaysia,2010,5,3902.1,4614.8,8516.9
United States,2020,12,3794.2,4720.4,8514.599999999999
China,2011,5,4116.6,4393.9,8510.5
Malaysia,2014,12,3793.1,4717.3,8510.4
Malaysia,2015,1,3965.2,4542.4,8507.599999999999
China,2012,8,4067.3,4438.4,8505.7
Malaysia,2017,4,4248.2,4256.4,8504.599999999999
United States,2019,1,4791.4,3712.0,8503.4
United States,2021,7,4579.5,3923.6,8503.1
Malaysia,2017,7,4377.5,4119.9,8497.4
China,2011,10,3748.3,4744.8,8493.1
Malaysia,2015,10,3834.5,4656.0,8490.5
United States,2020,5,3555.0,4933.9,8488.9
Malaysia,2009,10,4144.5,4342.9,8487.4
China,2011,9,3835.3,4646.3,8481.6
United States,2022,2,4444.8,4036.7,8481.5
Malaysia,2006,12,3903.9,4566.1,8470.0
United States,2018,12,5077.3,3369.0,8446.3
United States,2019,12,4625.2,3812.3,8437.5
Malaysia,2014,11,3890.6,4538.4,8429.0
United States,2020,1,4497.9,3929.0,8426.9
China,2008,8,4491.6,3926.3,8417.900000000001
China,2010,5,4031.2,4386.6,8417.8
Malaysia,2005,8,3912.0,4492.4,8404.4
China,2012,9,3948.2,4439.4,8387.599999999999
Malaysia,2008,2,4178.0,4199.2,8377.2
Malaysia,2012,1,3495.2,4868.3,8363.5
China,2010,7,4269.3,4087.6,8356.9
China,2007,11,4575.4,3754.5,8329.9
United States,2018,7,4782.8,3538.6,8321.4
Malaysia,2016,8,4075.1,4235.8,8310.9
Malaysia,2005,3,3985.3,4322.9,8308.2
China,2010,11,3914.4,4393.7,8308.1
China,2010,6,4045.9,4261.8,8307.7
Malaysia,2017,1,4201.2,4100.4,8301.599999999999
Malaysia,2019,6,4233.8,4065.4,8299.2
China,2012,4,3959.5,4311.3,8270.8
Malaysia,2016,6,3965.1,4294.0,8259.1
Hong Kong,2024,12,769.2,7482.7,8251.9
United States,2020,10,4161.8,4051.6,8213.4
United States,2019,9,4726.8,3484.4,8211.2
China,2011,4,4096.4,4113.3,8209.7
Malaysia,2006,1,4003.6,4202.6,8206.2
United States,2018,9,4583.3,3622.3,8205.6
China,2011,7,4045.2,4160.3,8205.5
Malaysia,2004,9,3847.1,4332.9,8180.0
China,2007,1,3952.5,4225.7,8178.2
Malaysia,2005,7,3782.6,4384.0,8166.6
Malaysia,2005,11,3754.1,4382.3,8136.4
Malaysia,2004,10,3855.2,4256.5,8111.7
Malaysia,2004,8,3864.9,4238.4,8103.299999999999
China,2008,1,4083.1,4011.7,8094.799999999999
Malaysia,2015,9,3832.9,4252.3,8085.200000000001
Hong Kong,2021,12,419.7,7654.0,8073.7
Malaysia,2016,11,4132.2,3935.9,8068.1
China,2010,3,3769.7,4295.3,8065.0
Malaysia,2018,2,3943.5,4120.8,8064.3
Hong Kong,2022,6,333.5,7717.9,8051.4
United States,2018,3,4669.1,3381.6,8050.700000000001
Malaysia,2016,10,3932.4,4107.3,8039.700000000001
China,2007,8,4203.1,3833.7,8036.8
Malaysia,2020,3,4295.4,3683.6,7979.0
United States,2006,10,4050.3,3914.7,7965.0
Malaysia,2017,2,4151.4,3809.9,7961.299999999999
China,2008,6,4027.3,3933.7,7961.0
China,2007,6,4272.7,3686.3,7959.0
China,2010,8,3997.2,3958.1,7955.299999999999
Malaysia,2017,6,4070.9,3882.0,7952.9
China,2012,1,3940.8,4011.5,7952.3
Malaysia,2015,12,3677.2,4272.0,7949.2
Malaysia,2009,7,3706.4,4227.4,7933.799999999999
Malaysia,2008,11,3647.5,4285.4,7932.9
Malaysia,2015,5,3613.2,4304.8,7918.0
Hong Kong,2022,5,431.8,7486.0,7917.8
Hong Kong,2024,11,442.4,7474.9,7917.299999999999
China,2010,4,4102.9,3809.9,7912.799999999999
United States,2007,10,4549.4,3357.3,7906.7
United States,2006,11,4550.0,3352.7,7902.7
Malaysia,2005,6,3805.1,4086.8,7891.9
China,2020,2,3978.9,3910.6,7889.5
China,2012,2,3574.1,4312.4,7886.5
Malaysia,2006,2,3823.8,4061.0,7884.8
Malaysia,2016,5,3755.9,4127.1,7883.0
China,2010,1,3856.2,4021.5,7877.7
United States,2019,2,4506.7,3367.5,7874.2
China,2010,9,3727.1,4138.0,7865.1
Malaysia,2016,9,3917.8,3936.0,7853.8
United States,2020,6,3825.4,4015.2,7840.6
China,2006,9,3860.1,3976.1,7836.2
United States,2006,6,3860.6,3974.0,7834.6
United States,2018,4,4440.0,3394.3,7834.3
United States,2020,11,3536.0,4297.1,7833.1
Malaysia,2015,4,3447.0,4377.3,7824.3
Malaysia,2004,12,3738.0,4081.1,7819.1
Hong Kong,2021,3,314.1,7470.9,7785.0
China,2007,10,3939.3,3843.5,7782.8
China,2007,7,4212.3,3566.0,7778.3
Hong Kong,2022,9,354.3,7405.7,7760.0
United States,2008,3,4824.5,2935.4,7759.9
United States,2020,9,3906.5,3842.5,7749.0
China,2008,4,3781.5,3967.2,7748.7
Malaysia,2009,9,3606.1,4136.8,7742.9
Malaysia,2010,2,3768.3,3972.4,7740.700000000001
China,2009,12,3681.1,4056.8,7737.9
United States,2006,7,3922.3,3807.2,7729.5
Malaysia,2009,11,3714.4,4013.5,7727.9
Malaysia,2019,2,3825.7,3882.5,7708.2
Malaysia,2004,7,3629.8,4074.2,7704.0
United States,2005,10,4154.9,3540.6,7695.5
Malaysia,2016,4,3257.8,4422.5,7680.3
Malaysia,2005,4,3676.2,3999.4,7675.6
Malaysia,2016,3,3442.7,4225.1,7667.8
Hong Kong,2022,12,240.0,7404.0,7644.0
United States,2006,9,3865.3,3778.2,7643.5
China,2008,10,4241.2,3398.5,7639.7
Malaysia,2015,11,3521.0,4109.0,7630.0
United States,2017,5,4561.7,3048.2,7609.9
Malaysia,2011,2,3532.8,4068.3,7601.1
Hong Kong,2021,11,306.1,7276.5,7582.6
China,2010,10,3401.5,4168.1,7569.6
Malaysia,2005,5,3427.0,4141.1,7568.1
China,2006,8,3985.9,3568.6,7554.5
Hong Kong,2021,8,378.2,7169.8,7548.0
United States,2008,10,4896.2,2647.9,7544.1
China,2007,9,3825.8,3709.7,7535.5
China,2016,2,3541.8,3991.3,7533.1
China,2007,12,4023.8,3507.7,7531.5
United States,2007,6,4280.4,3249.0,7529.4
Malaysia,2009,8,3427.0,4101.3,7528.3
Hong Kong,2021,5,360.8,7161.9,7522.7
China,2008,5,3669.1,3850.4,7519.5
United States,2006,3,3650.5,3857.3,7507.8
China,2006,11,3870.6,3633.0,7503.6
United States,2021,1,3688.4,3808.4,7496.8
United States,2008,9,4700.9,2794.4,7495.299999999999
Malaysia,2004,6,3620.4,3872.9,7493.3
United States,2013,9,4760.3,2724.2,7484.5
United States,2008,4,4452.3,3028.8,7481.1
United States,2008,1,4011.4,3462.5,7473.9
China,2007,3,3827.9,3618.6,7446.5
United States,2006,8,3759.2,3677.2,7436.4
Malaysia,2009,6,3542.4,3889.6,7432.0
United States,2004,7,3915.6,3493.1,7408.7
United States,2014,4,4619.7,2766.8,7386.5
Malaysia,2007,2,3471.5,3911.9,7383.4
Hong Kong,2021,9,362.1,7015.0,7377.1
China,2013,2,3692.5,3680.8,7373.3
United States,2021,2,3573.9,3789.9,7363.8
Malaysia,2004,3,3587.4,3758.7,7346.1
United States,2008,2,4420.3,2920.8,7341.1
Malaysia,2016,7,3576.0,3763.7,7339.7
China,2008,3,3855.2,3468.1,7323.299999999999
United States,2020,8,3476.1,3846.3,7322.4
China,2007,5,3905.1,3416.6,7321.7
United States,2007,7,4038.8,3271.3,7310.1
China,2007,4,3754.7,3531.3,7286.0
Hong Kong,2025,1,696.0,6585.2,7281.2
United States,2010,10,3885.9,3384.9,7270.8
Malaysia,2016,1,3277.1,3986.0,7263.1
Malaysia,2005,1,3552.1,3710.8,7262.9
United States,2007,5,4075.9,3176.6,7252.5
China,2006,6,3558.1,3683.7,7241.799999999999
China,2006,3,3600.5,3631.3,7231.8
United States,2007,4,3830.1,3400.8,7230.9
United States,2007,1,3659.4,3569.8,7229.200000000001
Hong Kong,2023,9,204.6,7003.6,7208.200000000001
United States,2015,3,4485.9,2706.6,7192.5
Hong Kong,2022,3,383.9,6807.2,7191.099999999999
