HS Code,4 digit categories,Product descriptions
51,5101 - 5113,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
52,5201 - 5212,Cotton
53,5301 - 5311,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn
54,5401 - 5408,"Sewing thread of man-made filaments, whether or not put up for retail sale"
55,5501 - 5516,Man-made staple fibres
56,5601 - 5609,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"
57,5701 - 5705,Carpets and other textile floor coverings
58,5801 - 5811,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery
59,5901 - 5911,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"
60,6001 - 6006,Knitted or crocheted fabrics
61,6101 - 6117,"Articles of apparel and clothing accessories, knitted or crocheted"
62,6201 - 6217,"Articles of apparel and clothing accessories, not knitted or crocheted"
63,6301 - 6310,Other made up textile articles; sets; worn clothing and worn textile articles; rags
64,6401 - 6406,"Footwear, gaiters and the like; parts of such articles"
65,6501 - 6507,Headgear and parts thereof
66,6601 - 6603,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"
67,6701 - 6704,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
68,6801 - 6815,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
69,6901 - 6914,Ceramic products
70,7001 - 7020,Glass and glassware
71,7101 - 7118,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
72,7201 - 7229,Iron and steel
73,7301 - 7326,Articles of iron or steel
74,7401 - 7419,Copper and articles thereof
75,7501 - 7508,Nickel and articles thereof
76,7601 - 7616,Aluminium and articles thereof
78,7801 - 7806,Lead and articles thereof
79,7901 - 7907,Zinc and articles thereof
80,8001 - 8007,Tin and articles thereof
81,8101 - 8113,Other base metals; cermets; articles thereof
82,8201 - 8215,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
83,8301 - 8311,Miscellaneous articles of base metal
84,8401 - 8487,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
85,8501 - 8548,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
86,8601 - 8609,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
87,8701 - 8716,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof"
88,8801 - 8805,"Aircraft, spacecraft, and parts thereof"
89,8901 - 8908,"Ships, boats and floating structures"
90,9001 - 9033,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"
91,9101 - 9114,Clocks and watches and parts thereof
92,9201 - 9209,Musical instruments; parts and accessories of such articles
93,9301 - 9307,Arms and ammunition; parts and accessories thereof
94,9401 - 9406,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
95,9501 - 9508,"Toys, games and sports requisites; parts and accessories thereof"
96,9601 - 9618,Miscellaneous manufactured articles
97,9701 - 9706,"Works of art, collectors' pieces, and antiques"
